質問１．現在、あなたは「福祉」とどのような関わりがありますか。次の中から該当するものをすべて選んでください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問１,全体,年代別１,,,,,,,,年代別２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10歳代,20歳代,30歳代,40歳代,50歳代,60歳代,70歳代,"80歳
以上",高齢者,,,"65歳
未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．子育て中のため福祉
　サービス必要",0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.4%,0.0%,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"６．病弱のため福祉サー
　ビス必要",3 ,1 ,4 ,3 ,6 ,9 ,1 ,2 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.6%,3.3%,6.2%,3.4%,8.0%,5.6%,1.4%,3.1%,2.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．ひとり親家庭のため
　福祉サービス必要",2 ,0 ,2 ,1 ,0 ,1 ,0 ,1 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.7%,0.0%,3.1%,1.1%,0.0%,0.6%,0.0%,1.6%,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．生活が困窮している
　ため福祉サービス必要",5 ,0 ,5 ,1 ,2 ,3 ,1 ,2 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14.3%,0.0%,7.7%,1.1%,2.7%,1.9%,1.4%,3.1%,2.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"９．身近に福祉サービス
　を受けている人がいる",5 ,3 ,8 ,26 ,11 ,37 ,21 ,8 ,29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14.3%,10.0%,12.3%,29.9%,14.7%,22.8%,29.6%,12.5%,21.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10．その他,0 ,1 ,1 ,2 ,4 ,6 ,2 ,4 ,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0%,3.3%,1.5%,2.3%,5.3%,3.7%,2.8%,6.3%,4.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,2 ,4 ,6 ,5 ,3 ,8 ,2 ,5 ,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.7%,13.3%,9.2%,5.7%,4.0%,4.9%,2.8%,7.8%,5.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問１,居住形態別,,,,,暮らし向き別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,持ち家(一戸建て),持ち家(ﾏﾝｼｮﾝ),借家(一戸建て),借家(ｱﾊﾟｰﾄ･ﾏﾝｼｮﾝ),その他,余裕がある,やや余裕がある,変わらない,やや苦しい,苦しい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,731 ,36 ,30 ,84 ,24 ,10 ,82 ,414 ,275 ,123 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．関わりはない,386 ,19 ,16 ,46 ,9 ,5 ,42 ,231 ,141 ,57 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.8%,52.8%,53.3%,54.8%,37.5%,50.0%,51.2%,55.8%,51.3%,46.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．福祉に関わる仕事・
　ボランティア活動",74 ,4 ,4 ,7 ,0 ,0 ,15 ,35 ,26 ,13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.1%,11.1%,13.3%,8.3%,0.0%,0.0%,18.3%,8.5%,9.5%,10.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．高齢のため福祉サー
　ビス必要",61 ,5 ,2 ,4 ,4 ,1 ,7 ,26 ,25 ,17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.3%,13.9%,6.7%,4.8%,16.7%,10.0%,8.5%,6.3%,9.1%,13.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．障がいのため福祉
　サービス必要",32 ,2 ,1 ,5 ,4 ,1 ,4 ,15 ,13 ,11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.4%,5.6%,3.3%,6.0%,16.7%,10.0%,4.9%,3.6%,4.7%,8.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．子育て中のため福祉
　サービス必要",26 ,3 ,3 ,9 ,3 ,0 ,5 ,20 ,15 ,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.6%,8.3%,10.0%,10.7%,12.5%,0.0%,6.1%,4.8%,5.5%,3.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"６．病弱のため福祉サー
　ビス必要",13 ,3 ,2 ,3 ,3 ,0 ,0 ,7 ,5 ,12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.8%,8.3%,6.7%,3.6%,12.5%,0.0%,0.0%,1.7%,1.8%,9.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．ひとり親家庭のため
　福祉サービス必要",14 ,2 ,1 ,2 ,1 ,0 ,1 ,8 ,8 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.9%,5.6%,3.3%,2.4%,4.2%,0.0%,1.2%,1.9%,2.9%,2.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．生活が困窮している
　ため福祉サービス必要",11 ,0 ,2 ,5 ,1 ,0 ,0 ,2 ,5 ,13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.5%,0.0%,6.7%,6.0%,4.2%,0.0%,0.0%,0.5%,1.8%,10.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"９．身近に福祉サービス
　を受けている人がいる",159 ,5 ,6 ,15 ,5 ,3 ,21 ,85 ,58 ,21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21.8%,13.9%,20.0%,17.9%,20.8%,30.0%,25.6%,20.5%,21.1%,17.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10．その他,29 ,1 ,1 ,2 ,4 ,2 ,0 ,19 ,11 ,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0%,2.8%,3.3%,2.4%,16.7%,20.0%,0.0%,4.6%,4.0%,3.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,31 ,0 ,0 ,0 ,2 ,0 ,3 ,14 ,9 ,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.2%,0.0%,0.0%,0.0%,8.3%,0.0%,3.7%,3.4%,3.3%,5.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問１,町内会の加入状況別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,加入している,加入していない,わからない,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,801 ,45 ,54 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．関わりはない,419 ,23 ,36 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.3%,51.1%,66.7%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．福祉に関わる仕事・
　ボランティア活動",83 ,2 ,2 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.4%,4.4%,3.7%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．高齢のため福祉サー
　ビス必要",68 ,3 ,2 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.5%,6.7%,3.7%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．障がいのため福祉
　サービス必要",38 ,3 ,4 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.7%,6.7%,7.4%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．子育て中のため福祉
　サービス必要",37 ,2 ,5 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.6%,4.4%,9.3%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"６．病弱のため福祉サー
　ビス必要",19 ,4 ,1 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.4%,8.9%,1.9%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．ひとり親家庭のため
　福祉サービス必要",15 ,3 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.9%,6.7%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．生活が困窮している
　ため福祉サービス必要",14 ,3 ,2 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.7%,6.7%,3.7%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"９．身近に福祉サービス
　を受けている人がいる",172 ,12 ,6 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21.5%,26.7%,11.1%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10．その他,34 ,1 ,1 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.2%,2.2%,1.9%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,31 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.9%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問１,福祉との関わり別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,関わりはない,仕事・ボランティア,福祉サービスを必要としている人,,,,,,身近にいる,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,高齢,障がい,子育て,病弱,ひとり親家庭,"生活
困窮",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,484 ,89 ,77 ,45 ,44 ,25 ,20 ,21 ,192 ,37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．関わりはない,484 ,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100%,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．福祉に関わる仕事・
　ボランティア活動",-,89 ,6 ,3 ,8 ,2 ,2 ,2 ,26 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,100%,7.8%,6.7%,18.2%,8.0%,10.0%,9.5%,13.5%,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．高齢のため福祉サー
　ビス必要",-,6 ,77 ,15 ,2 ,10 ,3 ,6 ,20 ,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,6.7%,100%,33.3%,4.5%,40.0%,15.0%,28.6%,10.4%,10.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．障がいのため福祉
　サービス必要",-,3 ,15 ,45 ,0 ,9 ,1 ,5 ,7 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,3.4%,19.5%,100%,0.0%,36.0%,5.0%,23.8%,3.6%,5.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．子育て中のため福祉
　サービス必要",-,8 ,2 ,0 ,44 ,2 ,3 ,0 ,10 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,9.0%,2.6%,0.0%,100%,8.0%,15.0%,0.0%,5.2%,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"６．病弱のため福祉サー
　ビス必要",-,2 ,10 ,9 ,2 ,25 ,2 ,5 ,5 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,2.2%,13.0%,20.0%,4.5%,100%,10.0%,23.8%,2.6%,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．ひとり親家庭のため
　福祉サービス必要",-,2 ,3 ,1 ,3 ,2 ,20 ,1 ,6 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,2.2%,3.9%,2.2%,6.8%,8.0%,100%,4.8%,3.1%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．生活が困窮している
　ため福祉サービス必要",-,2 ,6 ,5 ,0 ,5 ,1 ,21 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,2.2%,7.8%,11.1%,0.0%,20.0%,5.0%,100%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"９．身近に福祉サービス
　を受けている人がいる",-,26 ,20 ,7 ,10 ,5 ,6 ,0 ,192 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,29.2%,26.0%,15.6%,22.7%,20.0%,30.0%,0.0%,100%,8.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10．その他,-,1 ,4 ,2 ,1 ,1 ,0 ,0 ,3 ,37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,1.1%,5.2%,4.4%,2.3%,4.0%,0.0%,0.0%,1.6%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問２．あなたが市の福祉に関する情報を得る主な手段はどれですか。次の中から３つまで選んでください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問２,全体,年代別１,,,,,,,,年代別２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10歳代,20歳代,30歳代,40歳代,50歳代,60歳代,70歳代,"80歳
以上",高齢者,,,"65歳
未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"前期
高齢者","後期
高齢者",(小計),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,919 ,15 ,49 ,79 ,131 ,134 ,205 ,183 ,108 ,217 ,195 ,412 ,493 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"１．市の広報紙
　（広報あきた）",738 ,9 ,30 ,61 ,105 ,114 ,171 ,158 ,83 ,186 ,158 ,344 ,387 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80.3%,60.0%,61.2%,77.2%,80.2%,85.1%,83.4%,86.3%,76.9%,85.7%,81.0%,83.5%,78.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．公共施設の掲示やパ
　ンフレットなど",142 ,3 ,6 ,18 ,26 ,19 ,36 ,25 ,9 ,32 ,23 ,55 ,87 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.5%,20.0%,12.2%,22.8%,19.8%,14.2%,17.6%,13.7%,8.3%,14.7%,11.8%,13.3%,17.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
３．町内会の回覧板,258 ,1 ,3 ,12 ,21 ,30 ,66 ,75 ,50 ,81 ,83 ,164 ,94 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28.1%,6.7%,6.1%,15.2%,16.0%,22.4%,32.2%,41.0%,46.3%,37.3%,42.6%,39.8%,19.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
４．新聞、テレビなど,441 ,6 ,28 ,27 ,49 ,71 ,106 ,95 ,52 ,112 ,98 ,210 ,225 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48.0%,40.0%,57.1%,34.2%,37.4%,53.0%,51.7%,51.9%,48.1%,51.6%,50.3%,51.0%,45.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
５．福祉団体の広報紙,73 ,0 ,0 ,1 ,6 ,13 ,16 ,21 ,14 ,17 ,26 ,43 ,28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.9%,0.0%,0.0%,1.3%,4.6%,9.7%,7.8%,11.5%,13.0%,7.8%,13.3%,10.4%,5.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
６．インターネット,175 ,9 ,21 ,40 ,46 ,34 ,19 ,4 ,0 ,7 ,2 ,9 ,164 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.0%,60.0%,42.9%,50.6%,35.1%,25.4%,9.3%,2.2%,0.0%,3.2%,1.0%,2.2%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．口コミ
　（知人から聞いた）",172 ,3 ,11 ,19 ,24 ,28 ,35 ,30 ,18 ,35 ,33 ,68 ,101 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18.7%,20.0%,22.4%,24.1%,18.3%,20.9%,17.1%,16.4%,16.7%,16.1%,16.9%,16.5%,20.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
８．福祉関連の相談窓口,87 ,0 ,0 ,2 ,17 ,19 ,23 ,14 ,10 ,25 ,16 ,41 ,44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.5%,0.0%,0.0%,2.5%,13.0%,14.2%,11.2%,7.7%,9.3%,11.5%,8.2%,10.0%,8.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
９. その他,26 ,0 ,2 ,3 ,8 ,3 ,1 ,4 ,4 ,0 ,8 ,8 ,17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.8%,0.0%,4.1%,3.8%,6.1%,2.2%,0.5%,2.2%,3.7%,0.0%,4.1%,1.9%,3.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,26 ,0 ,0 ,1 ,2 ,2 ,8 ,5 ,7 ,10 ,9 ,19 ,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.8%,0.0%,0.0%,1.3%,1.5%,1.5%,3.9%,2.7%,6.5%,4.6%,4.6%,4.6%,1.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問２,性別,,職業別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男性,女性,有業者,,,,,無業者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,雇われている人,会社・団体の役員,自営・家族従事者,"その他
有業者",(小計),学生,"専業
主婦","年金
生活者","その他
無業者",(小計),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,365 ,541 ,366 ,19 ,54 ,22 ,461 ,24 ,101 ,294 ,18 ,437 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"１．市の広報紙
　（広報あきた）",295 ,436 ,286 ,17 ,48 ,17 ,368 ,15 ,88 ,240 ,15 ,358 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80.8%,80.6%,78.1%,89.5%,88.9%,77.3%,79.8%,62.5%,87.1%,81.6%,83.3%,81.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．公共施設の掲示やパ
　ンフレットなど",60 ,82 ,61 ,4 ,7 ,4 ,76 ,4 ,15 ,40 ,6 ,65 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16.4%,15.2%,16.7%,21.1%,13.0%,18.2%,16.5%,16.7%,14.9%,13.6%,33.3%,14.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
３．町内会の回覧板,110 ,147 ,73 ,5 ,15 ,9 ,102 ,2 ,27 ,116 ,6 ,151 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30.1%,27.2%,19.9%,26.3%,27.8%,40.9%,22.1%,8.3%,26.7%,39.5%,33.3%,34.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
