営業所名,営業所住所,営業所電話番号,申請者名,申請区分,指令番号,業種名,業態名,許可年月日,許可期間（開始）,許可期間（満了）
秋田県漁業協同組合,秋田市土崎港西一丁目２０,018-845-1311,秋田県漁業協同組合,新規,679,魚介類販売業,一般,6/20/17,6/20/17,5/31/23
トラおばさんの家,秋田市手形字西谷地４４－２,,藤田悦子,新規,678,飲食店営業,一般,6/20/17,6/20/17,1/31/23
マシッタ,秋田市仁井田蕗見町１０－５５,018-829-2986,川本英植,継続,686,食肉販売業,一般,6/21/17,7/1/17,6/30/23
大進堂,秋田市仁井田本町三丁目１－３５,018-839-1022,佐々木常男,継続,692,菓子製造業,一般,6/21/17,7/1/17,6/30/23
シャンティ,秋田市仁井田新田一丁目１７－３６,018-839-1351,福田なお子,継続,689,飲食店営業,一般,6/21/17,7/1/17,6/30/23
虹のホール　レゼール仁井田,秋田市仁井田本町三丁目２９,018-839-5550,株式会社　アキタパークホテル・マネージメント,継続,694,飲食店営業,一般,6/21/17,7/1/17,6/30/23
めんこく亭,秋田市仁井田新田二丁目１６－９,018-839-8166,株式会社　アルファコーポレーション,継続,687,飲食店営業,一般,6/21/17,7/1/17,6/30/23
洋菓子工房パパ・パティシェ,秋田市御野場新町三丁目４－１０,018-839-8883,岡崎晃,継続,690,菓子製造業,一般,6/21/17,7/1/17,6/30/23
烏山,秋田市仁井田栄町７－２８,018-889-6877,渡部一盛,継続,685,飲食店営業,一般,6/21/17,7/1/17,6/30/23
レストランカラオケＡＱＡ仁井田店,秋田市仁井田本町六丁目３－８,018-892-6116,株式会社　アルノ,継続,693,飲食店営業,一般,6/21/17,7/1/17,6/30/23
有限会社　渡辺豆腐店,秋田市新屋船場町１－１８,018-823-2404,有限会社　渡辺豆腐店,継続,696,豆腐製造業,一般,6/22/17,7/1/17,6/30/23
中国料理天花,秋田市新屋朝日町２７－３,018-823-3691,町本直昭,継続,701,飲食店営業,一般,6/22/17,7/1/17,6/30/23
ローソン秋田新屋比内町店,秋田市新屋比内町２－５６,018-828-0807,藤原房雄,継続,708,飲食店営業,その他,6/22/17,7/1/17,6/30/23
高嶋精肉店,秋田市新屋表町１４－２６,018-828-3101,高嶋由里子,継続,711,食肉販売業,一般,6/22/17,7/1/17,6/30/23
南波精肉店,秋田市新屋元町１４－２６,018-828-4025,南波郁夫,継続,712,食肉販売業,一般,6/22/17,7/1/17,6/30/23
工藤旅館,秋田市新屋扇町３－２２,018-828-4706,工藤長子,継続,704,飲食店営業,仕出し・弁当,6/22/17,7/1/17,6/30/23
ナイス新屋店,秋田市新屋比内町１７－３,018-828-6911,株式会社　ナイス,継続,705,飲食店営業,仕出し・弁当,6/22/17,7/1/17,6/30/23
ナイス新屋店,秋田市新屋比内町１７－３,018-828-6911,株式会社　ナイス,継続,706,魚介類販売業,一般,6/22/17,7/1/17,6/30/23
ナイス新屋店,秋田市新屋比内町１７－３,018-828-6911,株式会社　ナイス,継続,707,食肉販売業,一般,6/22/17,7/1/17,6/30/23
県立スケート場内売店,秋田市新屋町字砂奴寄２－２,018-863-1241,森林純一,継続,709,飲食店営業,その他,6/22/17,7/1/17,6/30/23
やすけ寿し,秋田市新屋松美ガ丘南町１５－２８,018-863-1524,佐藤久利,継続,699,飲食店営業,一般,6/22/17,7/1/17,6/30/23
与力,秋田市新屋豊町４－８,018-863-7873,佐々木力,継続,695,飲食店営業,一般,6/22/17,7/1/17,6/30/23
エームＳＪ０９５０,秋田市新屋鳥木町一丁目１９５,,エームサービスジャパン株式会社,継続,702,飲食店営業,一般,6/22/17,7/1/17,6/30/24
Ｇ食堂,秋田市新屋豊町３－７３,,有限会社　オーツーダイニング,継続,698,飲食店営業,一般,6/22/17,7/1/17,6/30/23
三浦食品,秋田市四ツ小屋小阿地字坂ノ下４０番地,018-839-1705,三浦君子,継続,724,菓子製造業,一般,6/23/17,7/1/17,6/30/23
肉処大久保　秋田店,秋田市卸町二丁目２－７,018-866-1729,株式会社　オーエムツーミート,継続,723,飲食店営業,その他,6/23/17,7/1/17,6/30/23
（株）オーエムツーミート肉処大久保秋田店,秋田市卸町二丁目２－７,018-866-1729,株式会社　オーエムツーミート,継続,722,食肉販売業,一般,6/23/17,7/1/17,6/30/23
鳥ぎん,秋田市卸町二丁目２－７,018-866-8335,鎌田一二三,継続,728,飲食店営業,その他,6/23/17,7/1/17,6/30/23
秋田畑,秋田市中通一丁目４－３,018-827-7708,株式会社　バウハウス,新規,743,飲食店営業,一般,6/26/17,6/26/17,11/30/22
Ｍ,秋田市仁井田二ツ屋一丁目９－１７,018-833-0397,荒川真理子,継続,736,飲食店営業,一般,6/26/17,7/1/17,6/30/23
有限会社  フジタ製菓もろこし製造部,秋田市牛島東七丁目１４－４,018-833-7906,有限会社　フジタ製菓,継続,735,菓子製造業,一般,6/26/17,7/1/17,6/30/23
寿し大和合同会社,秋田市千秋矢留町１－１４,018-835-8981,寿し大和合同会社,新規,742,飲食店営業,一般,6/26/17,6/26/17,9/30/23
メフォス北日本　５１７６９号店,秋田市牛島東六丁目５－１７,018-836-7400,株式会社　メフォス北日本,新規,738,飲食店営業,一般,6/26/17,6/26/17,6/30/23
ささやか,秋田市中通六丁目１２－１３,018-838-7727,佐藤さとみ,新規,746,飲食店営業,その他,6/26/17,6/26/17,11/30/22
アロマテラピーショップＰｆｒｅ,秋田市中通二丁目１－１,018-853-7278,二田雪絵,新規,749,飲食店営業,一般,6/26/17,6/26/17,11/30/22
ハラールレストラン　デラ,秋田市山王五丁目１４－１２,018-893-4144,有限会社　パキザ商事,新規,731,飲食店営業,一般,6/26/17,6/26/17,4/30/23
佐々木家,秋田市内,,みちのく麺匠株式会社,新規,741,飲食店営業,移動,6/26/17,6/26/17,5/31/23
冨野精肉店,秋田市新屋表町６－１５,018-828-4118,冨野昭雄,継続,774,食肉販売業,一般,6/29/17,7/1/17,6/30/23
おかずや,秋田市豊岩石田坂字坂ノ下６１－４,018-828-4413,安田喜代治,継続,759,飲食店営業,仕出し・弁当,6/29/17,7/1/17,6/30/23
和食処　いずみ郷,秋田市新屋田尻沢東町１０－１,018-828-7017,鎌田清二,継続,765,飲食店営業,一般,6/29/17,7/1/17,6/30/23
Ｃａｆｅ’ｄｅ　ＣｏＣｏ　南太平洋,秋田市御所野地蔵田二丁目１０－２,018-839-7167,古川進,継続,785,飲食店営業,一般,6/29/17,7/1/17,6/30/23
ホテル秋田御所野,秋田市御所野堤台一丁目３－１,018-853-8660,株式会社　みちのくジャパン,継続,782,飲食店営業,一般,6/29/17,7/1/17,6/30/23
紅虎餃子房イオンモール秋田店,秋田市御所野地蔵田一丁目１－１,018-889-6572,際コーポレーション株式会社,継続,788,飲食店営業,一般,6/29/17,7/1/17,6/30/23
スターバックスコーヒー　イオンモール秋田店,秋田市御所野地蔵田一丁目１－１,018-889-6588,スターバックスコーヒージャパン株式会社,継続,786,飲食店営業,一般,6/29/17,7/1/17,6/30/24
ファミリーマート秋田御所野湯本店,秋田市御所野湯本二丁目１－４,018-889-8555,佐々木貴則,継続,784,飲食店営業,その他,6/29/17,7/1/17,6/30/23
ＣＲファクトリー「カフェコート」,秋田市新屋鳥木町１－５０,,有限会社　秋田ランチサービス,継続,766,飲食店営業,一般,6/29/17,7/1/17,6/30/23
仁井田福祉センター,秋田市仁井田字切上２４０－１,018-829-3115,日清医療食品株式会社,継続,804,飲食店営業,一般,6/30/17,7/1/17,6/30/23
ステーキくにお,秋田市川元開和町３－２,018-865-7878,丹羽志郎,新規,814,飲食店営業,一般,6/30/17,6/30/17,4/30/23
北斗水産,秋田市卸町二丁目２－７,018-896-7181,秋田県産株式会社,継続,802,魚介類販売業,一般,6/30/17,7/1/17,6/30/23
ファミリーマート秋田北インター通り店,秋田市外旭川字小谷地４１－１,,佐藤成吾,新規,809,飲食店営業,その他,6/30/17,6/30/17,7/31/23
マージャンカフェ　ステップ,秋田市山王沼田町１１－２７,018-838-6360,小松俊亮,新規,842,飲食店営業,一般,7/6/17,7/6/17,4/30/23
ＳＥＡＳＩＤＥ　ＨＯＵＳＥ　ＳｅａＭａｇｉｃ,秋田市下浜羽川字下野１,,矢本琢海,新規,848,飲食店営業,一般,7/7/17,7/7/17,6/30/23
しゃぶしゃぶ酒房美豚,秋田市山王二丁目２－３,018-853-8066,佐藤勇人,新規,866,飲食店営業,一般,7/10/17,7/10/17,4/30/23
キッチン　三楽,秋田市中通四丁目１６－９,,合名会社　扇屋,新規,956,飲食店営業,一般,7/19/17,7/19/17,11/30/22
ケルン,秋田市保戸野原の町５－１０,018-853-5750,二階堂茂,新規,1001,飲食店営業,一般,7/20/17,7/20/17,1/31/23
鎌田商店,秋田市外旭川字梶ノ目１８６－３,018-868-2461,鎌田久悦,継続,1013,魚介類販売業,一般,7/21/17,8/1/17,7/31/23
肉のわかばマイスター,秋田市外旭川八柳三丁目１６－１１,018-868-4992,株式会社　大門商店,継続,1015,食肉販売業,一般,7/21/17,8/1/17,7/31/23
ガスト秋田外旭川店,秋田市外旭川字三後田３５－１,018-869-7030,株式会社　すかいらーくレストランツ,継続,1009,飲食店営業,一般,7/21/17,8/1/17,7/31/23
とうふ屋　丸木橋六兵衛,秋田市山内字丸木橋１７４－１,018-827-2271,社会福祉法人　一羊会,継続,1043,豆腐製造業,一般,7/24/17,8/1/17,7/31/23
とうふ屋　丸木橋六兵衛,秋田市山内字丸木橋１７４－１,018-827-2271,社会福祉法人　一羊会,継続,1044,そうざい製造業,一般,7/24/17,8/1/17,7/31/23
和風ラウンジ　太平,秋田市仁別字マンタラメ２１３,018-827-2306,太平山観光開発株式会社,継続,1046,飲食店営業,仕出し・弁当,7/24/17,8/1/17,7/31/23
ぱっぷや市民市場店,秋田市中通四丁目７－３５,018-827-5185,株式会社　ジェイズ,新規,1041,飲食店営業,一般,7/24/17,7/24/17,11/30/22
秋田温泉さとみ地下厨房,秋田市添川字境内川原１４２－１,018-833-7171,株式会社　ヤマテ,継続,1042,飲食店営業,旅館,7/24/17,8/1/17,7/31/23
８８バル,秋田市中通一丁目４－３,018-838-7588,株式会社　フード・ボックス,新規,1040,飲食店営業,仕出し・弁当,7/24/17,7/24/17,11/30/22
メフォス　５０５５０　号店,秋田市外旭川字八幡田１０－６,018-868-5115,株式会社　メフォス,継続,1073,飲食店営業,一般,7/26/17,8/1/17,7/31/23
有限会社　宅配こまち,秋田市外旭川字梶ノ目９８－１,018-868-7800,有限会社　宅配こまち,継続,1074,飲食店営業,仕出し・弁当,7/26/17,8/1/17,7/31/23
有限会社　玉一鶏卵,秋田市外旭川字待合２８,018-869-5015,有限会社　玉一鶏卵　,継続,1059,そうざい製造業,一般,7/26/17,8/1/17,7/31/23
秋田協和水産株式会社,秋田市外旭川字待合２８,018-869-5370,秋田協和水産株式会社,継続,1060,魚介類販売業,一般,7/26/17,8/1/17,7/31/23
うまい一丸鮨　秋田外旭川店,秋田市外旭川字小谷地７０番地１,018-869-7733,マキシムジャパン株式会社,継続,1076,飲食店営業,一般,7/26/17,8/1/17,7/31/23
合資会社　お天気や,秋田市楢山本町１－１,018-833-1274,合資会社　お天気や,継続,1120,食肉販売業,一般,7/27/17,8/1/17,7/31/23
合資会社　お天気や,秋田市楢山本町１－１,018-833-1274,合資会社　お天気や,継続,1121,魚介類販売業,一般,7/27/17,8/1/17,7/31/23
ＣＲＹＳＴＡＬ　ＧＡＲＤＥＮ,秋田市楢山登町１－４,018-833-2083,有限会社　Ｌｉｆｅ　Ｓｔｙｌｅ,継続,1113,飲食店営業,一般,7/27/17,8/1/17,7/31/23
みよしや食堂,秋田市楢山南中町１－５６,018-835-2756,泉勝雄,継続,1112,飲食店営業,一般,7/27/17,8/1/17,7/31/23
秋田県漁業協同組合,秋田市土崎港西一丁目２０,018-845-1311,秋田県漁業協同組合,新規,1087,飲食店営業,その他,7/27/17,7/27/17,5/31/23
ローソン秋田日赤病院前店,秋田市上北手荒巻堺切２７－１,018-829-5070,株式会社　Ｋ＆Ｋメルシ,新規,1212,飲食店営業,その他,8/1/17,8/1/17,9/30/23
セブン－イレブン秋田割山店,秋田市新屋勝平町２－２４,018-865-3317,安田君子,新規,1246,飲食店営業,その他,8/3/17,8/3/17,6/30/24
和食　なり,秋田市中通四丁目１７－３０,,武田成明,新規,1243,飲食店営業,一般,8/3/17,8/3/17,11/30/22
薄利多賣半兵ヱ　秋田駅前店,秋田市千秋久保田町１１６－１,,株式会社　ドリームリンク,新規,1256,飲食店営業,一般,8/7/17,8/7/17,9/30/23
オレンジハウス２,秋田市下浜羽川字下野１,,長澤美智子,新規,1270,飲食店営業,一般,8/9/17,8/9/17,6/30/23
ＪＡＣＫ　ＢＡＲ,秋田市内,,株式会社　トランスウェブ,新規,1271,飲食店営業,移動,8/9/17,8/9/17,5/31/23
焼き鳥　どっこいしょ！,秋田市新屋栗田町２２－１７,,横山徹,新規,1279,飲食店営業,一般,8/10/17,8/10/17,6/30/23
ＭＡＣＣＨＩＮＡ,秋田市旭南三丁目５－１５,018-823-1730,伊藤一成,継続,1305,飲食店営業,一般,8/21/17,9/1/17,8/31/23
旭南高砂堂,秋田市旭南一丁目１３－２６,018-823-4021,株式会社　塚本商店,継続,1302,菓子製造業,一般,8/21/17,9/1/17,8/31/23
旭南高砂堂,秋田市旭南一丁目１８－２５,018-823-4021,株式会社　塚本商店,継続,1303,喫茶店営業,一般,8/21/17,9/1/17,8/31/23
貝沼商店,秋田市旭南二丁目７－２０,018-862-5718,貝沼基,継続,1300,みそ製造業,一般,8/21/17,9/1/17,8/31/23
ＳＢＳフレック（株）東北総括支店　秋田営業所,秋田市川尻町大川反２３２－２,018-823-4755,ＳＢＳフレック株式会社,新規,1311,食品の冷凍又は冷蔵業,一般,8/22/17,8/22/17,4/30/23
宴屋　来庵,秋田市泉北一丁目２－７,018-824-1523,佐藤恵,継続,1329,飲食店営業,一般,8/23/17,9/1/17,8/31/23
八永南部家敷　八橋店,秋田市八橋大道東１－３,018-824-6800,株式会社　八永南部家敷,継続,1326,飲食店営業,一般,8/23/17,9/1/17,8/31/23
居酒家　ごろべ,秋田市八橋大畑二丁目１－２７,018-862-3356,真田優,継続,1317,飲食店営業,一般,8/23/17,9/1/17,8/31/23
酒庵　田なか,秋田市泉中央二丁目６－１４,018-864-3220,田中康弘,継続,1330,飲食店営業,一般,8/23/17,9/1/17,8/31/23
まるみ商店,秋田市八橋新川向９－１６,018-864-6547,仁村勝美,継続,1320,菓子製造業,一般,8/23/17,9/1/17,8/31/23
ベルナール,秋田市泉菅野二丁目１－１,018-866-8811,株式会社　タカヤナギ,継続,1334,菓子製造業,一般,8/23/17,9/1/17,8/31/23
宅配弁当　おひさま,秋田市高陽青柳町９－２０,018-867-0106,株式会社　プロフェクト・バランス,継続,1319,飲食店営業,仕出し・弁当,8/23/17,9/1/17,8/31/23
国際教養大学カフェテリア　レストランＳＵＮＳＵＮ,秋田市雄和椿川字奥椿岱１９３－２,018-886-3699,株式会社　サンアメニティ,継続,1339,飲食店営業,仕出し・弁当,8/23/17,9/1/17,8/31/23
Ａコープ大正寺店,秋田市雄和新波字本屋敷１－１,018-887-2236,株式会社　ＪＡ秋田なまはげライフサービス,継続,1342,魚介類販売業,一般,8/23/17,9/1/17,8/31/23
Ａコープ大正寺店,秋田市雄和新波字本屋敷１－１,018-887-2236,株式会社　ＪＡ秋田なまはげライフサービス,継続,1343,食肉販売業,一般,8/23/17,9/1/17,8/31/23
